Date,USD (Average),EURO (Average),GBP (Average)
2023-02-24,1817.525,1720.0,1516.71
2023-02-23,1826.5,1723.305,1516.54
2023-02-22,1834.6,1723.33,1517.395
2023-02-21,1835.025,1721.805,1517.8400000000001
2023-02-20,1845.0,1726.0900000000001,1533.105
2023-02-17,1829.225,1717.27,1527.575
2023-02-16,1833.125,1715.52,1524.78
2023-02-15,1833.325,1713.79,1522.5700000000002
2023-02-14,1862.1,1731.475,1527.0149999999999
2023-02-13,1857.275,1736.925,1537.92
2023-02-10,1861.9,1740.13,1538.58
2023-02-09,1880.6,1745.855,1546.51
2023-02-08,1876.7,1748.52,1554.185
2023-02-07,1872.25,1749.71,1561.7350000000001
2023-02-06,1873.375,1741.4850000000001,1555.65
2023-02-03,1892.675,1739.58,1555.5
2023-02-02,1938.275,1770.95,1575.8899999999999
2023-02-01,1925.75,1767.645,1562.3600000000001
2023-01-31,1914.5500000000002,1766.35,1554.42
2023-01-30,1925.425,1765.995,1553.24
2023-01-27,1925.65,1770.345,1555.7350000000001
2023-01-26,1934.45,1775.635,1562.065
2023-01-25,1928.3249999999998,1771.8400000000001,1563.865
2023-01-24,1928.625,1777.3200000000002,1569.505
2023-01-23,1921.025,1765.7,1553.1399999999999
2023-01-20,1926.825,1778.845,1558.895
2023-01-19,1913.05,1768.2350000000001,1549.755
2023-01-18,1916.125,1764.08,1547.9299999999998
2023-01-17,1909.375,1762.345,1559.755
2023-01-16,1916.05,1769.47,1568.865
2023-01-13,1905.6,1759.8249999999998,1560.21
2023-01-12,1882.8249999999998,1749.43,1551.54
2023-01-11,1878.3,1745.98,1547.1599999999999
2023-01-10,1876.9250000000002,1747.98,1543.21
2023-01-09,1876.3249999999998,1753.605,1542.52
2023-01-06,1843.35,1752.0949999999998,1549.585
2023-01-05,1842.125,1741.98,1539.525
2023-01-04,1857.425,1749.605,1539.8049999999998
2023-01-03,1839.15,1742.585,1536.225
2022-12-29,1809.575,1700.8200000000002,1503.8449999999998
2022-12-28,1803.0,1692.9250000000002,1492.885
2022-12-22,1807.95,1701.3600000000001,1499.675
2022-12-21,1815.525,1710.5,1497.815
2022-12-20,1810.125,1702.15,1489.37
2022-12-19,1793.65,1689.44,1470.7849999999999
2022-12-16,1786.35,1680.2350000000001,1465.775
2022-12-15,1779.75,1669.215,1444.7150000000001
2022-12-14,1808.125,1697.105,1459.065
2022-12-13,1804.35,1703.8400000000001,1461.26
2022-12-12,1788.6,1694.25,1457.35
2022-12-09,1794.575,1701.53,1463.83
2022-12-08,1786.3000000000002,1698.675,1464.49
2022-12-07,1777.025,1691.72,1459.195
2022-12-06,1773.5749999999998,1688.35,1456.02
2022-12-05,1785.5749999999998,1697.54,1460.6799999999998
2022-12-02,1792.75,1707.2150000000001,1464.305
2022-12-01,1791.375,1708.475,1466.27
2022-11-30,1756.575,1693.6,1463.925
2022-11-29,1754.025,1692.72,1461.805
2022-11-28,1754.725,1678.995,1453.1599999999999
2022-11-25,1752.6999999999998,1685.395,1448.605
2022-11-24,1755.325,1687.135,1449.1100000000001
2022-11-23,1737.95,1682.24,1452.745
2022-11-22,1744.975,1697.77,1470.665
2022-11-21,1740.025,1697.83,1472.935
2022-11-18,1758.175,1698.74,1477.21
2022-11-17,1761.5749999999998,1701.7649999999999,1488.255
2022-11-16,1778.1,1708.3000000000002,1495.46
2022-11-15,1773.225,1703.27,1490.49
2022-11-14,1763.125,1709.52,1499.0149999999999
2022-11-11,1762.05,1714.92,1500.12
2022-11-10,1725.2,1717.245,1498.835
2022-11-09,1710.2,1703.185,1496.855
2022-11-08,1674.725,1673.8000000000002,1459.275
2022-11-07,1679.4250000000002,1680.6,1465.97
2022-11-04,1661.6,1686.175,1474.13
2022-11-03,1624.7,1664.8200000000002,1446.88
2022-11-02,1653.0,1672.005,1439.43
2022-11-01,1648.9,1665.045,1433.045
2022-10-31,1638.925,1653.185,1422.505
2022-10-28,1648.65,1654.42,1427.48
2022-10-27,1661.525,1656.62,1434.73
2022-10-26,1668.775,1664.27,1441.575
2022-10-25,1651.05,1664.63,1447.1750000000002
2022-10-24,1647.75,1674.27,1456.3600000000001
2022-10-21,1633.9,1671.7849999999999,1464.125
2022-10-20,1634.25,1670.205,1457.0149999999999
2022-10-19,1636.2,1670.8,1454.25
