Date,USD (Average),EURO (Average),GBP (Average)
24/02/24,,,
23/02/24,,,
22/02/24,,,
21/02/24,,,
20/02/24,,,
19/02/24,,,
18/02/24,,,
17/02/24,,,
16/02/24,,,
15/02/24,,,
14/02/24,,,
13/02/24,,,
12/02/24,,,
11/02/24,,,
10/02/24,,,
09/02/24,,,
08/02/24,,,
07/02/24,,,
06/02/24,,,
05/02/24,,,
04/02/24,,,
03/02/24,,,
02/02/24,,,
01/02/24,,,
31/01/24,,,
30/01/24,,,
29/01/24,,,
28/01/24,,,
27/01/24,,,
26/01/24,,,
25/01/24,,,
24/01/24,,,
23/01/24,,,
22/01/24,,,
21/01/24,,,
20/01/24,,,
19/01/24,,,
18/01/24,,,
17/01/24,,,
16/01/24,,,
15/01/24,,,
14/01/24,,,
13/01/24,,,
12/01/24,,,
11/01/24,,,
10/01/24,,,
09/01/24,,,
08/01/24,,,
07/01/24,,,
06/01/24,,,
05/01/24,,,
04/01/24,,,
03/01/24,,,
02/01/24,,,
01/01/24,,,
31/12/23,,,
30/12/23,,,
29/12/23,,,
28/12/23,,,
27/12/23,,,
26/12/23,,,
25/12/23,,,
24/12/23,,,
23/12/23,,,
22/12/23,,,
21/12/23,,,
20/12/23,,,
19/12/23,,,
18/12/23,,,
17/12/23,,,
16/12/23,,,
15/12/23,,,
14/12/23,,,
13/12/23,,,
12/12/23,,,
11/12/23,,,
10/12/23,,,
09/12/23,,,
08/12/23,,,
07/12/23,,,
06/12/23,,,
05/12/23,,,
04/12/23,,,
03/12/23,,,
02/12/23,,,
01/12/23,,,
30/11/23,,,
29/11/23,,,
28/11/23,,,
27/11/23,,,
26/11/23,,,
25/11/23,,,
24/11/23,,,
23/11/23,,,
22/11/23,,,
21/11/23,,,
20/11/23,,,
19/11/23,,,
18/11/23,,,
17/11/23,,,
16/11/23,,,
15/11/23,,,
14/11/23,,,
13/11/23,,,
12/11/23,,,
11/11/23,,,
10/11/23,,,
09/11/23,,,
08/11/23,,,
07/11/23,,,
06/11/23,,,
05/11/23,,,
04/11/23,,,
03/11/23,,,
02/11/23,,,
01/11/23,,,
31/10/23,,,
30/10/23,,,
29/10/23,,,
28/10/23,,,
27/10/23,,,
26/10/23,,,
25/10/23,,,
24/10/23,,,
23/10/23,,,
22/10/23,,,
21/10/23,,,
20/10/23,,,
19/10/23,,,
18/10/23,,,
17/10/23,,,
16/10/23,,,
15/10/23,,,
14/10/23,,,
13/10/23,,,
12/10/23,,,
11/10/23,,,
10/10/23,,,
09/10/23,,,
08/10/23,,,
07/10/23,,,
06/10/23,,,
05/10/23,,,
04/10/23,,,
03/10/23,,,
02/10/23,,,
01/10/23,,,
30/09/23,,,
29/09/23,,,
28/09/23,,,
27/09/23,,,
26/09/23,,,
25/09/23,,,
24/09/23,,,
23/09/23,,,
22/09/23,,,
21/09/23,,,
20/09/23,,,
19/09/23,,,
18/09/23,,,
17/09/23,,,
16/09/23,,,
15/09/23,,,
14/09/23,,,
13/09/23,,,
12/09/23,,,
11/09/23,,,
10/09/23,,,
09/09/23,,,
08/09/23,,,
07/09/23,,,
06/09/23,,,
05/09/23,,,
04/09/23,,,
03/09/23,,,
02/09/23,,,
01/09/23,,,
31/08/23,,,
30/08/23,,,
29/08/23,,,
28/08/23,,,
27/08/23,,,
26/08/23,,,
25/08/23,,,
24/08/23,,,
23/08/23,,,
22/08/23,,,
21/08/23,,,
20/08/23,,,
19/08/23,,,
18/08/23,,,
17/08/23,,,
16/08/23,,,
15/08/23,,,
14/08/23,,,
13/08/23,,,
12/08/23,,,
11/08/23,,,
10/08/23,,,
09/08/23,,,
08/08/23,,,
07/08/23,,,
06/08/23,,,
05/08/23,,,
04/08/23,,,
03/08/23,,,
02/08/23,,,
01/08/23,,,
31/07/23,,,
30/07/23,,,
29/07/23,,,
28/07/23,,,
27/07/23,,,
26/07/23,,,
25/07/23,,,
24/07/23,,,
23/07/23,,,
22/07/23,,,
21/07/23,,,
20/07/23,,,
19/07/23,,,
18/07/23,,,
17/07/23,,,
16/07/23,,,
15/07/23,,,
14/07/23,,,
13/07/23,,,
12/07/23,,,
11/07/23,,,
10/07/23,,,
09/07/23,,,
08/07/23,,,
07/07/23,,,
06/07/23,,,
05/07/23,,,
04/07/23,,,
03/07/23,,,
02/07/23,,,
01/07/23,,,
30/06/23,,,
29/06/23,,,
28/06/23,,,
27/06/23,,,
26/06/23,,,
25/06/23,,,
24/06/23,,,
23/06/23,,,
22/06/23,,,
21/06/23,,,
20/06/23,,,
19/06/23,,,
18/06/23,,,
17/06/23,,,
16/06/23,,,
15/06/23,,,
14/06/23,,,
13/06/23,,,
12/06/23,,,
11/06/23,,,
10/06/23,,,
09/06/23,,,
08/06/23,,,
07/06/23,,,
06/06/23,,,
05/06/23,,,
04/06/23,,,
03/06/23,,,
02/06/23,,,
01/06/23,,,
31/05/23,,,
30/05/23,,,
29/05/23,,,
28/05/23,,,
27/05/23,,,
26/05/23,,,
25/05/23,,,
